Date(UTC)	Date(UTC)	Stage
2017-03-10 17:00:00	2017-03-10 17:00:00	-0.3
2017-03-10 18:00:00	2017-03-10 18:00:00	-0.4
2017-03-10 19:00:00	2017-03-10 19:00:00	-0.1
2017-03-10 20:00:00	2017-03-10 20:00:00	0.6
2017-03-10 21:00:00	2017-03-10 21:00:00	1.4
2017-03-10 22:00:00	2017-03-10 22:00:00	2.1
2017-03-10 23:00:00	2017-03-10 23:00:00	2.5
2017-03-11 00:00:00	2017-03-11 00:00:00	2.7
2017-03-11 01:00:00	2017-03-11 01:00:00	2.6
2017-03-11 02:00:00	2017-03-11 02:00:00	2.1
2017-03-11 03:00:00	2017-03-11 03:00:00	1.5
2017-03-11 04:00:00	2017-03-11 04:00:00	0.7
2017-03-11 05:00:00	2017-03-11 05:00:00	0.0
2017-03-11 06:00:00	2017-03-11 06:00:00	-0.2
2017-03-11 07:00:00	2017-03-11 07:00:00	0.1
2017-03-11 08:00:00	2017-03-11 08:00:00	0.7
2017-03-11 09:00:00	2017-03-11 09:00:00	1.6
2017-03-11 10:00:00	2017-03-11 10:00:00	2.4
2017-03-11 11:00:00	2017-03-11 11:00:00	3.0
2017-03-11 12:00:00	2017-03-11 12:00:00	3.4
2017-03-11 13:00:00	2017-03-11 13:00:00	3.3
2017-03-11 14:00:00	2017-03-11 14:00:00	3.0
2017-03-11 15:00:00	2017-03-11 15:00:00	2.3
2017-03-11 16:00:00	2017-03-11 16:00:00	1.4
2017-03-11 17:00:00	2017-03-11 17:00:00	0.5
2017-03-11 18:00:00	2017-03-11 18:00:00	0.0
2017-03-11 19:00:00	2017-03-11 19:00:00	-0.1
2017-03-11 20:00:00	2017-03-11 20:00:00	0.2
2017-03-11 21:00:00	2017-03-11 21:00:00	0.8
2017-03-11 22:00:00	2017-03-11 22:00:00	1.6
2017-03-11 23:00:00	2017-03-11 23:00:00	2.4
2017-03-12 00:00:00	2017-03-12 00:00:00	2.8
2017-03-12 01:00:00	2017-03-12 01:00:00	2.9
2017-03-12 02:00:00	2017-03-12 02:00:00	2.6
2017-03-12 03:00:00	2017-03-12 03:00:00	2.0
2017-03-12 04:00:00	2017-03-12 04:00:00	1.2
2017-03-12 05:00:00	2017-03-12 05:00:00	0.3
2017-03-12 06:00:00	2017-03-12 06:00:00	-0.2
2017-03-12 07:00:00	2017-03-12 07:00:00	-0.3
2017-03-12 08:00:00	2017-03-12 08:00:00	-0.1
2017-03-12 09:00:00	2017-03-12 09:00:00	0.5
2017-03-12 10:00:00	2017-03-12 10:00:00	1.3
2017-03-12 11:00:00	2017-03-12 11:00:00	2.0
2017-03-12 12:00:00	2017-03-12 12:00:00	2.7
2017-03-12 13:00:00	2017-03-12 13:00:00	2.9
2017-03-12 14:00:00	2017-03-12 14:00:00	2.8
2017-03-12 15:00:00	2017-03-12 15:00:00	2.3
2017-03-12 16:00:00	2017-03-12 16:00:00	1.5
2017-03-12 17:00:00	2017-03-12 17:00:00	0.5
2017-03-12 18:00:00	2017-03-12 18:00:00	-0.1
2017-03-12 19:00:00	2017-03-12 19:00:00	-0.4
2017-03-12 20:00:00	2017-03-12 20:00:00	-0.4
2017-03-12 21:00:00	2017-03-12 21:00:00	0.0
2017-03-12 22:00:00	2017-03-12 22:00:00	0.9
2017-03-12 23:00:00	2017-03-12 23:00:00	1.7
2017-03-13 00:00:00	2017-03-13 00:00:00	2.4
2017-03-13 01:00:00	2017-03-13 01:00:00	2.8
2017-03-13 02:00:00	2017-03-13 02:00:00	2.7
2017-03-13 03:00:00	2017-03-13 03:00:00	2.3
2017-03-13 04:00:00	2017-03-13 04:00:00	1.6
2017-03-13 05:00:00	2017-03-13 05:00:00	0.7
2017-03-13 06:00:00	2017-03-13 06:00:00	0.0
2017-03-13 07:00:00	2017-03-13 07:00:00	-0.3
2017-03-13 08:00:00	2017-03-13 08:00:00	-0.4
2017-03-13 09:00:00	2017-03-13 09:00:00	0.0
